NODE_ID,ARS_ID,정류소명,정류소타입,X좌표(WGS84),Y좌표(WGS84),X좌표(GRS80TM),Y좌표(GRS80TM)
121900316,22614,서초포레스타3단지후문,마을버스,127.059588,37.453804,961047.8804802392,1939492.2757715085
121900329,22616,LH3.호반써밋서초파크,마을버스,127.0229572647,37.4579545688,957810.3977723944,1939968.5259561571
121000541,22652,강남역서초현대타워앞,일반차로,127.0280084862,37.4964688083,958278.547199423,1944239.1687536093
121000974,22653,강남역우리은행,일반차로,127.0283766361,37.4956209364,958310.6184896096,1944144.939710868
121000973,22654,강남역티월드,일반차로,127.0288669116,37.4946974423,958353.4440700916,1944042.2669766457
121900307,22655,호반써밋서초파크뷰,마을버스,127.0240810088,37.4595010532,957910.6489386052,1940139.59470604
121900217,22694,2호선교대역7번출구,마을버스,127.0145663212,37.4940798561,957088.9595692772,1943980.1730759728
121000975,22711,교대역,일반차로,127.0143808403,37.4940321203,957072.5361281174,1943974.9616685144
121900216,22742,서초경찰서,마을버스,127.0059940336,37.4956827639,956332.1206885148,1944161.947898264
121000472,22762,이수교(방배본동),일반차로,126.9833037257,37.4969374974,954327.1509859968,1944311.9213536803
121000476,22766,임광아파트,일반차로,127.0009712406,37.4767398875,955876.9860449516,1942062.7012815336
121000479,22769,방배동래미안아파트,일반차로,126.9852744312,37.4757117127,954488.4758841704,1941956.1028312205
121001309,22774,삼성전자서울R&D,일반차로,127.0233096227,37.4658469816,957845.9914816738,1940843.9756427277
121001308,22777,KT연구개발센터,일반차로,127.0304939858,37.47063109,958483.9585041464,1941371.547978198
121001313,22779,네이처힐.호반써밋서초파크.파크뷰,일반차로,127.0241545233,37.4604668951,957917.6917231154,1940246.7151584043
121000977,22793,강남고속버스터미널,일반차로,127.0039283325,37.5060680574,956155.5940160598,1945315.091613983
121001318,22801,내방역.제일병원,일반차로,126.9953160104,37.488024411,955383.6704586948,1943317.309999492
